course_title,tags
Write Your First Novel,Write Your First Novel Michigan State University COURSE Beginner
Writing in the Sciences,Writing in the Sciences Stanford University COURSE Beginner
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age University of Illinois at Urbana-Champaign COURSE Mixed
iOS App Development with Swift,iOS App Development with Swift University of Toronto SPECIALIZATION Intermediate
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección IESE Business School COURSE Beginner
Étudier en France: French Intermediate course B1-B2,Étudier en France: French Intermediate course B1-B2 École Polytechnique COURSE Intermediate
Éxito Profesional,"Éxito Profesional University of California, Irvine SPECIALIZATION Beginner"
Искусство ведения бизнеса,Искусство ведения бизнеса Saint Petersburg State University SPECIALIZATION Beginner
Искусство разработки на современном C++,Искусство разработки на современном C++ E-Learning Development Fund SPECIALIZATION Intermediate
Корпоративные финансы и стоимость компании,Корпоративные финансы и стоимость компании National Research University Higher School of Economics SPECIALIZATION Beginner
Математика и Python для анализа данных,Математика и Python для анализа данных E-Learning Development Fund COURSE Beginner
Машинное обучение и анализ данных,Машинное обучение и анализ данных E-Learning Development Fund SPECIALIZATION Intermediate
Основы Digital Маркетинга,Основы Digital Маркетинга National Research University Higher School of Economics SPECIALIZATION Intermediate
Основы программирования на Python,Основы программирования на Python National Research University Higher School of Economics COURSE Beginner
Основы разработки на C++: белый пояс,Основы разработки на C++: белый пояс E-Learning Development Fund COURSE Intermediate
Погружение в Python,Погружение в Python Moscow Institute of Physics and Technology COURSE Intermediate
Программирование на Python,Программирование на Python Mail.Ru Group SPECIALIZATION Intermediate
Психолингвистика (Psycholinguistics),Психолингвистика (Psycholinguistics) Saint Petersburg State University COURSE Mixed
Разработка интерфейсов: вёрстка и JavaScript,Разработка интерфейсов: вёрстка и JavaScript E-Learning Development Fund SPECIALIZATION Intermediate
Русский как иностранный,Русский как иностранный Saint Petersburg State University SPECIALIZATION Intermediate
Финансовые инструменты для частного инвестора,Финансовые инструменты для частного инвестора National Research University Higher School of Economics SPECIALIZATION Beginner
