course_title,tags
Climate Change and Health: From Science to Action,Climate Change and Health: From Science to Action Yale University SPECIALIZATION Beginner
Clinical Terminology for International and U.S. Students,Clinical Terminology for International and U.S. Students University of Pittsburgh COURSE Beginner
Cloud Computing,Cloud Computing University of Illinois at Urbana-Champaign SPECIALIZATION Intermediate
Cloud Computing Basics (Cloud 101),Cloud Computing Basics (Cloud 101) LearnQuest COURSE Beginner
Cloud Engineering with Google Cloud,Cloud Engineering with Google Cloud Google Cloud PROFESSIONAL CERTIFICATE Intermediate
Coaching Skills for Managers,"Coaching Skills for Managers University of California, Davis SPECIALIZATION Intermediate"
Code Yourself! An Introduction to Programming,Code Yourself! An Introduction to Programming The University of Edinburgh COURSE Beginner
Communication Skills for Engineers,Communication Skills for Engineers Rice University SPECIALIZATION Beginner
Communication Strategies for a Virtual Age,Communication Strategies for a Virtual Age University of Toronto COURSE Beginner
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots University of Colorado Boulder COURSE Beginner
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)","Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point) Universitat Autònoma de Barcelona COURSE Beginner"
Competitive Strategy and Organization Design,Competitive Strategy and Organization Design Ludwig-Maximilians-Universität München (LMU) SPECIALIZATION Intermediate
Computational Social Science,"Computational Social Science University of California, Davis SPECIALIZATION Beginner"
Computational Thinking for Problem Solving,Computational Thinking for Problem Solving University of Pennsylvania COURSE Beginner
Computer Security and Systems Management,Computer Security and Systems Management University of Colorado System SPECIALIZATION Beginner
Conflict Management,"Conflict Management University of California, Irvine SPECIALIZATION Beginner"
Construction Cost Estimating and Cost Control,Construction Cost Estimating and Cost Control Columbia University COURSE Beginner
Construction Management,Construction Management Columbia University SPECIALIZATION Beginner
Construction Project Management,Construction Project Management Columbia University COURSE Beginner
Construction Scheduling,Construction Scheduling Columbia University COURSE Beginner
Contabilidad para no contadores,Contabilidad para no contadores Universidad Nacional Autónoma de México COURSE Beginner
Content Strategy for Professionals,Content Strategy for Professionals Northwestern University SPECIALIZATION Beginner
Continuous Delivery & DevOps,Continuous Delivery & DevOps University of Virginia COURSE Beginner
Control of Mobile Robots,Control of Mobile Robots Georgia Institute of Technology COURSE Mixed
Convolutional Neural Networks,Convolutional Neural Networks deeplearning.ai COURSE Intermediate
Convolutional Neural Networks in TensorFlow,Convolutional Neural Networks in TensorFlow deeplearning.ai COURSE Intermediate
Corporate & Commercial Law I: Contracts & Employment Law,Corporate & Commercial Law I: Contracts & Employment Law University of Illinois at Urbana-Champaign COURSE Intermediate
Corporate Finance Essentials,Corporate Finance Essentials IESE Business School COURSE Mixed
Corporate Strategy,Corporate Strategy UCL School of Management COURSE Beginner
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity Università Bocconi COURSE Mixed
"Corrección, estilo y  variaciones de la lengua española","Corrección, estilo y  variaciones de la lengua española Universitat Autònoma de Barcelona COURSE Beginner"
Cost and Economics in Pricing Strategy,Cost and Economics in Pricing Strategy University of Virginia COURSE Beginner
Costos para los Negocios,Costos para los Negocios Universidad de Chile COURSE Intermediate
Crash Course on Python,Crash Course on Python Google COURSE Beginner
Creative Problem Solving,Creative Problem Solving University of Minnesota COURSE Mixed
Creative Writing,Creative Writing Wesleyan University SPECIALIZATION Beginner
Creative Writing: The Craft of Plot,Creative Writing: The Craft of Plot Wesleyan University COURSE Mixed
"Creatividad, diseño e innovación: Técnicas y herramientas","Creatividad, diseño e innovación: Técnicas y herramientas Arizona State University SPECIALIZATION Beginner"
Cuidado de heridas en el ámbito hospitalario,Cuidado de heridas en el ámbito hospitalario Universidad Nacional Autónoma de México COURSE Intermediate
Cuidados y procedimientos generales en la atención del recién nacido,Cuidados y procedimientos generales en la atención del recién nacido Universidad de Chile COURSE Intermediate
Culture-Driven Team Building,Culture-Driven Team Building University of Pennsylvania SPECIALIZATION Beginner
Curanderismo: Traditional Healing Using Plants,Curanderismo: Traditional Healing Using Plants University of New Mexico COURSE Beginner
Customer Segmentation and Prospecting,Customer Segmentation and Prospecting Northwestern University COURSE Beginner
Cybersecurity,"Cybersecurity University of Maryland, College Park SPECIALIZATION Intermediate"
Cybersecurity and Its Ten Domains,Cybersecurity and Its Ten Domains University System of Georgia COURSE Beginner
Cybersecurity for Business,Cybersecurity for Business University of Colorado System SPECIALIZATION Beginner
Cómo hablar bien en público,Cómo hablar bien en público Universitat Autònoma de Barcelona COURSE Beginner
Dairy Production and Management,Dairy Production and Management The Pennsylvania State University COURSE Mixed
Data Analysis and Interpretation,Data Analysis and Interpretation Wesleyan University SPECIALIZATION Beginner
Data Analysis and Presentation Skills: the PwC Approach,Data Analysis and Presentation Skills: the PwC Approach PwC SPECIALIZATION Beginner
Data Analysis with Python,Data Analysis with Python IBM COURSE Beginner
Data Analytics for Lean Six Sigma,Data Analytics for Lean Six Sigma University of Amsterdam COURSE Beginner
Data Collection and Processing with Python,Data Collection and Processing with Python University of Michigan COURSE Intermediate
Data Engineering on Google Cloud Platform 日本語版,Data Engineering on Google Cloud Platform 日本語版 Google Cloud SPECIALIZATION Intermediate
Data Engineering with Google Cloud,Data Engineering with Google Cloud Google Cloud PROFESSIONAL CERTIFICATE Intermediate
"Data Engineering, Big Data, and Machine Learning on GCP","Data Engineering, Big Data, and Machine Learning on GCP Google Cloud SPECIALIZATION Intermediate"
Data Management for Clinical Research,Data Management for Clinical Research Vanderbilt University COURSE Beginner
Data Mining,Data Mining University of Illinois at Urbana-Champaign SPECIALIZATION Intermediate
Data Science,Data Science Johns Hopkins University SPECIALIZATION Beginner
Data Science Math Skills,Data Science Math Skills Duke University COURSE Beginner
Data Science Methodology,Data Science Methodology IBM COURSE Beginner
Data Science: Foundations using R,Data Science: Foundations using R Johns Hopkins University SPECIALIZATION Beginner
Data Science: Statistics and Machine Learning,Data Science: Statistics and Machine Learning Johns Hopkins University SPECIALIZATION Intermediate
Data Visualization and Communication with Tableau,Data Visualization and Communication with Tableau Duke University COURSE Mixed
Data Visualization with Advanced Excel,Data Visualization with Advanced Excel PwC COURSE Beginner
Data Visualization with Python,Data Visualization with Python IBM COURSE Intermediate
Data Visualization with Tableau,"Data Visualization with Tableau University of California, Davis SPECIALIZATION Beginner"
Data Warehousing for Business Intelligence,Data Warehousing for Business Intelligence University of Colorado System SPECIALIZATION Advanced
Data and Health Indicators in Public Health Practice,Data and Health Indicators in Public Health Practice Johns Hopkins University COURSE Beginner
Data-driven Decision Making,Data-driven Decision Making PwC COURSE Beginner
Databases and SQL for Data Science,Databases and SQL for Data Science IBM COURSE Beginner
De-Mystifying Mindfulness,De-Mystifying Mindfulness Universiteit Leiden COURSE Beginner
Decision-Making and Scenarios,Decision-Making and Scenarios University of Pennsylvania COURSE Mixed
Deep Learning,Deep Learning deeplearning.ai SPECIALIZATION Intermediate
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Democracia y decisiones públicas. Introducción al análisis de políticas públicas Universitat Autònoma de Barcelona COURSE Beginner
Dentistry 101,Dentistry 101 University of Michigan COURSE Beginner
Dermatology: Trip to skin,Dermatology: Trip to skin Novosibirsk State University  COURSE Beginner
Design Thinking for Innovation,Design Thinking for Innovation University of Virginia COURSE Beginner
Design Thinking for the Greater Good: Innovation in the Social Sector,Design Thinking for the Greater Good: Innovation in the Social Sector University of Virginia COURSE Beginner
Design and Interpretation of Clinical Trials,Design and Interpretation of Clinical Trials Johns Hopkins University COURSE Mixed
Design and Make Infographics (Project-Centered Course),Design and Make Infographics (Project-Centered Course) Michigan State University COURSE Mixed
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,Design-Led Strategy: Design thinking for business strategy and entrepreneurship The University of Sydney COURSE Intermediate
Developing APIs with Google Cloud's Apigee API Platform,Developing APIs with Google Cloud's Apigee API Platform Google Cloud SPECIALIZATION Intermediate
Developing Applications with Google Cloud Platform,Developing Applications with Google Cloud Platform Google Cloud SPECIALIZATION Intermediate
Developing Applications with Google Cloud Platform 日本語版,Developing Applications with Google Cloud Platform 日本語版 Google Cloud SPECIALIZATION Intermediate
Developing Industrial Internet of Things,Developing Industrial Internet of Things University of Colorado Boulder SPECIALIZATION Intermediate
Developing Your Musicianship,Developing Your Musicianship Berklee College of Music COURSE Mixed
Developing Your Musicianship,Developing Your Musicianship Berklee College of Music SPECIALIZATION Beginner
Devenir entrepreneur du changement,Devenir entrepreneur du changement Ticket for Change COURSE Mixed
Digital Advertising Strategy,Digital Advertising Strategy University of Colorado Boulder SPECIALIZATION Beginner
Digital Business Models,Digital Business Models Lund University COURSE Beginner
Digital Manufacturing & Design Technology,Digital Manufacturing & Design Technology University at Buffalo SPECIALIZATION Beginner
Digital Marketing,Digital Marketing University of Illinois at Urbana-Champaign SPECIALIZATION Beginner
Digital Media and Marketing Strategies,Digital Media and Marketing Strategies University of Illinois at Urbana-Champaign COURSE Mixed
